ID,Candidate,ContentVersion,EnvironmentDevice,Actor,Date,Status,ExpectedResult,ActualResult,Evidence,Owner
HV-R05,homepage-vision-implementation-v1,hv-2026-09-24,Local production build; preparation state,Anonymous and signed-in,2026-09-24,not_applicable,"Public recipe projection does not vary by user","No recipe read or personal saved/child data is used by the preparation homepage","src/components/home/HomeRecipes.tsx; network check in MOBILE-AND-PERFORMANCE.md",Engineering
HV-R06,homepage-vision-implementation-v1,hv-2026-09-24,No recipe cards selected,Anonymous,2026-09-24,not_applicable,"Recipe identity and print action are correct","Homepage presents a recipe plan rather than recipe card or print action","tests/e2e/homepage-vision.spec.ts",Engineering
HV-R07,homepage-vision-implementation-v1,hv-2026-09-24,Homepage state contract unit tests,Synthetic,2026-09-24,passed,"Invalid collection reference is rejected or safely suppressed","External, mismatched, unapproved and malformed references fall back to preparation","tests/homepage/homepage-content.test.mjs",Engineering
HV-R08,homepage-vision-implementation-v1,hv-2026-09-24,No collection offer selected,Anonymous,2026-09-24,not_applicable,"Paused or changed offer is removed while buyer access remains","No current offer summary or sale claim is rendered","tests/e2e/homepage-vision.spec.ts",Engineering
HV-A01,homepage-vision-implementation-v1,hv-2026-09-24,Repository asset and source-owner review,Content owner,2026-09-24,blocked,"Photo source, rights and permission are recorded and approved","Existing parent/child hero source is identified but its rights owner/permission record was not found","ASSET-MANIFEST.md",Content owner
HV-A02,homepage-vision-implementation-v1,hv-2026-09-24,Local asset inspection and synthetic page,Anonymous,2026-09-24,not_run,"Pixels and metadata contain no private identities or URLs","Synthetic preview text contains no real child/account data; full provenance/metadata review of the family photo remains open","ASSET-MANIFEST.md",Content owner
HV-A03,homepage-vision-implementation-v1,hv-2026-09-24,Local static HTML preview,Anonymous,2026-09-24,passed,"Preview format is truthfully described","Previews are authored HTML illustrations, not native screenshots; adjacent copy says illustrative preview","DECISIONS-AND-COPY.md; src/components/home/FeaturePreview.tsx",Design
HV-A04,homepage-vision-implementation-v1,hv-2026-09-24,Local production build,Anonymous,2026-09-24,passed,"Chat is an illustrative routine example, not diagnosis or live service","Static conversation and disclaimer are visible; no chat input/form/feature route exists","tests/e2e/homepage-vision.spec.ts; screenshots/homepage-1280.png",Engineering
HV-A05,homepage-vision-implementation-v1,hv-2026-09-24,Local production build,Anonymous,2026-09-24,passed,"Shop shows generic categories with no retailer or checkout action","Only Feeding, Sleep and Play category cards render; no products, links or price are present","tests/e2e/homepage-vision.spec.ts",Engineering
HV-A06,homepage-vision-implementation-v1,hv-2026-09-24,Local production build,Synthetic,2026-09-24,passed,"Bloom example is synthetic and avoids medical/developmental scoring","Made-up milestone and explicit synthetic label are visible","tests/e2e/homepage-vision.spec.ts",Engineering
HV-A07,homepage-vision-implementation-v1,hv-2026-09-24,Playwright image-request failure,Anonymous,2026-09-24,passed,"Headings, status and descriptions survive failed images","Image requests were aborted; all preview headings and Planned for the web labels remained readable","tests/e2e/homepage-vision.spec.ts",Engineering
HV-A08,homepage-vision-implementation-v1,hv-2026-09-24,Local page crops and Open Graph image,Anonymous,2026-09-24,passed,"Preview state remains clear in page and social crops","Responsive page captures retain adjacent HTML labels; 1200x630 social image marks future pillars Planned","screenshots/homepage-390.png; screenshots/opengraph.png",Design
HV-N01,homepage-vision-implementation-v1,hv-2026-09-24,Local production build; three Playwright projects,Anonymous,2026-09-24,passed,"Overview links lead to recipe or preview destinations","Recipes targets #recipes; other pillars target their static preview anchors","tests/e2e/homepage-vision.spec.ts",Engineering
HV-N02,homepage-vision-implementation-v1,hv-2026-09-24,Local production build; mobile and desktop navigation,Anonymous,2026-09-24,passed,"What's ahead navigation resolves to the home anchor","Cross-route nav from /about resolves to /#whats-ahead","tests/e2e/homepage-vision.spec.ts",Engineering
HV-N03,homepage-vision-implementation-v1,hv-2026-09-24,Chromium mobile and WebKit mobile,Anonymous,2026-09-24,passed,"Selecting mobile anchor closes menu and focuses target","Menu closes; target becomes focused and visible below sticky header","tests/e2e/homepage-vision.spec.ts",Engineering
HV-N04,homepage-vision-implementation-v1,hv-2026-09-24,Manual direct-hash/browser-back/keyboard scenario,Anonymous,2026-09-24,not_run,"Direct hash, keyboard and browser back are predictable","Cross-route menu anchor is automated; the complete direct-hash/back/keyboard sequence was not run","tests/e2e/homepage-vision.spec.ts; MOBILE-AND-PERFORMANCE.md",QA
HV-N05,homepage-vision-implementation-v1,hv-2026-09-24,Preparation state,Anonymous,2026-09-24,not_applicable,"Collection CTA reaches canonical collection without creating checkout","No collection CTA exists in current state","tests/e2e/homepage-vision.spec.ts",Engineering
HV-N06,homepage-vision-implementation-v1,hv-2026-09-24,Local production build; static preview interaction,Anonymous,2026-09-24,passed,"Preview interaction does not invoke chat/shop/Bloom actions","No forms or controls exist in previews and no feature routes are linked","tests/e2e/homepage-vision.spec.ts; local request capture in MOBILE-AND-PERFORMANCE.md",Engineering
HV-N07,homepage-vision-implementation-v1,hv-2026-09-24,Local production build and sitemap check,Anonymous,2026-09-24,passed,"Deferred routes remain blocked and sitemap lists valid public pages","Route assertions and sitemap check pass; chat/shop/Bloom routes are absent","npm run check:routes; tests/e2e/public-site.spec.ts",Engineering
HV-N08,homepage-vision-implementation-v1,hv-2026-09-24,Full buyer account regression,Test buyer,2026-09-24,not_run,"Returning buyer reaches account and purchased library","Broad E2E run stopped before this scenario; no account-path result is claimed","MOBILE-AND-PERFORMANCE.md",QA
HV-U01,homepage-vision-implementation-v1,hv-2026-09-24,Playwright sweep 320/390/768/1280 and screenshots,Anonymous,2026-09-24,passed,"No overflow or clipped main content","All four widths passed no-overflow assertion; 390/768/1280 captures reviewed","tests/e2e/homepage-vision.spec.ts; screenshots/",QA
HV-U02,homepage-vision-implementation-v1,hv-2026-09-24,200-percent zoom and long-string manual review,Anonymous,2026-09-24,not_run,"Large text and long strings stay readable and reachable","Not executed","MOBILE-AND-PERFORMANCE.md",QA
HV-U03,homepage-vision-implementation-v1,hv-2026-09-24,Keyboard-only manual review,Anonymous,2026-09-24,not_run,"All controls have visible focus and no trap","Menu/anchor focus behavior is automated; traversal of every control was not completed","tests/e2e/homepage-vision.spec.ts; MOBILE-AND-PERFORMANCE.md",QA
HV-U04,homepage-vision-implementation-v1,hv-2026-09-24,Real screen reader review,Anonymous,2026-09-24,not_run,"Headings, landmarks, links and preview status are announced meaningfully","Not executed with VoiceOver or another screen reader","MOBILE-AND-PERFORMANCE.md",QA
HV-U05,homepage-vision-implementation-v1,hv-2026-09-24,Manual contrast/target-size review,Anonymous,2026-09-24,not_run,"Functional tokens and target sizes meet the project target","Desktop axe critical/serious assertion passed; manual color/target-size review remains","MOBILE-AND-PERFORMANCE.md",Design
HV-U06,homepage-vision-implementation-v1,hv-2026-09-24,Reduced-motion/delayed-script manual review,Anonymous,2026-09-24,not_run,"Essential content remains visible and motion preference is respected","Navbar checks reduced-motion preference in code; full scenario not executed","src/components/Navbar.tsx; MOBILE-AND-PERFORMANCE.md",QA
HV-U07,homepage-vision-implementation-v1,hv-2026-09-24,Physical iOS/Android and Instagram browser,Anonymous,2026-09-24,blocked,"Main journey works on recorded real-device versions","No physical device or Instagram in-app browser evidence is available","MOBILE-AND-PERFORMANCE.md",QA
HV-U08,homepage-vision-implementation-v1,hv-2026-09-24,Playwright FAQ and consent interactions,Anonymous,2026-09-24,passed,"FAQ content and consent controls are operable without blocking access","FAQ/Support copy, decline, accept, revoke and preview navigation checks passed","tests/e2e/homepage-vision.spec.ts; tests/e2e/analytics-consent.spec.ts",Engineering
HV-P01,homepage-vision-implementation-v1,hv-2026-09-24,Local Chromium first-load request capture,Anonymous,2026-09-24,passed,"No native AI/chat/shop/Bloom service calls or imports","Observed only local document, Next assets/image and privacy navigation; preview source has no feature service imports","MOBILE-AND-PERFORMANCE.md; src/components/home/FeaturePreview.tsx",Engineering
HV-P02,homepage-vision-implementation-v1,hv-2026-09-24,Local production build; preparation state,Anonymous,2026-09-24,passed,"No protected recipe body or private user state is shipped","Preparation state performs no recipe query and renders no recipe card/body","src/components/home/HomeRecipes.tsx; tests/e2e/homepage-vision.spec.ts",Engineering
HV-P03,homepage-vision-implementation-v1,hv-2026-09-24,Anonymous versus entitled-user cache test,Anonymous and signed-in,2026-09-24,not_applicable,"Public recipe content does not leak across users","No user-specific recipe projection is used in preparation state","src/components/home/HomeRecipes.tsx",Engineering
HV-P04,homepage-vision-implementation-v1,hv-2026-09-24,Consent declined/provider failure tests,Anonymous,2026-09-24,passed,"Homepage and anchors work without optional analytics","Declined visitor navigates; provider error does not block anchor navigation","tests/e2e/analytics-consent.spec.ts",Engineering
HV-P05,homepage-vision-implementation-v1,hv-2026-09-24,390px local Chromium DPR3,Anonymous,2026-09-24,passed,"Responsive assets are bounded and below-fold previews do not add raster payload","Hero request was 47,086 encoded bytes; static previews use HTML/SVG and there are no below-fold raster assets","MOBILE-AND-PERFORMANCE.md; ASSET-MANIFEST.md",Engineering
HV-P06,homepage-vision-implementation-v1,hv-2026-09-24,Current local route transfer; no same-profile base measurement,Anonymous,2026-09-24,blocked,"Added compressed route JS is no more than 25KB over baseline","Current encoded JS was 222,678 bytes; additive difference cannot be computed without pre-change same-profile baseline","MOBILE-AND-PERFORMANCE.md",Engineering
HV-P07,homepage-vision-implementation-v1,hv-2026-09-24,Single unthrottled localhost Chromium sample,Anonymous,2026-09-24,blocked,"Phone-profile LCP/CLS targets and baseline are recorded","Sample LCP 208ms and CLS 0.0000 are local/unthrottled and do not satisfy the agreed-profile requirement","MOBILE-AND-PERFORMANCE.md",QA
HV-P08,homepage-vision-implementation-v1,hv-2026-09-24,Recipe-page regression and transfer comparison,Anonymous,2026-09-24,not_run,"Existing recipe pages still work without material regression","Public route smoke passed but recipe-specific baseline/transfer comparison and buyer regression were not completed","npm run check:routes; MOBILE-AND-PERFORMANCE.md",QA
HV-M01,homepage-vision-implementation-v1,hv-2026-09-24,Playwright consent-decline flow,Anonymous,2026-09-24,passed,"No optional event is emitted before consent and navigation continues","Declined preview click navigates without homepage event or browser ID","tests/e2e/analytics-consent.spec.ts",Engineering
HV-M02,homepage-vision-implementation-v1,hv-2026-09-24,Prior-interaction then consent manual scenario,Anonymous,2026-09-24,not_run,"Pre-consent interactions are not replayed after accept","Pre-consent click followed by accept was not separately exercised","tests/e2e/analytics-consent.spec.ts",Engineering
HV-M03,homepage-vision-implementation-v1,hv-2026-09-24,Consent withdrawal then new preview event,Anonymous,2026-09-24,not_run,"Optional events stop after revocation","Withdrawal storage clearing is covered; post-revocation preview event was not separately asserted","tests/e2e/analytics-consent.spec.ts",Engineering
HV-M04,homepage-vision-implementation-v1,hv-2026-09-24,Analytics schema unit/contract tests,Synthetic,2026-09-24,passed,"Raw URLs/private/unknown properties are rejected","Raw destination, email, unknown feature and extra fields are rejected","tests/e2e/analytics-contract.spec.ts",Engineering
HV-M05,homepage-vision-implementation-v1,hv-2026-09-24,Playwright accepted exposure and repeat scroll,Anonymous,2026-09-24,passed,"Visible event is consented and once per page view","Bloom preview exposure records once after repeated scroll","tests/e2e/analytics-consent.spec.ts",Engineering
HV-M06,homepage-vision-implementation-v1,hv-2026-09-24,Playwright provider-send failure,Anonymous,2026-09-24,passed,"Provider failure does not delay recipe/preview navigation","Preview anchor navigation completed after simulated provider error","tests/e2e/analytics-consent.spec.ts",Engineering
HV-M07,homepage-vision-implementation-v1,hv-2026-09-24,Analytics report interpretation,Product,2026-09-24,not_applicable,"Low-volume interest is described as curiosity, not demand","This change adds bounded events but no reporting/dashboard or conversion claim","DECISIONS-AND-COPY.md; MEASUREMENT.md",Product
HV-M08,homepage-vision-implementation-v1,hv-2026-09-24,Five-person comprehension/release review,Representative participants,2026-09-24,blocked,"Actual comprehension answers and limitations are recorded","No participant research or answers were collected","COMPREHENSION-REVIEW.md",Product and research
HV-D01,homepage-vision-implementation-v1,hv-2026-09-24,Post-merge hosting/domain verification,Release owner,2026-09-24,not_run,"Hosting project, deployed SHA and official domain are reconciled","Pending PR merge and fresh GitHub deployment inspection","RELEASE-RECORD.md",Release owner
HV-D02,homepage-vision-implementation-v1,hv-2026-09-24,Presentation-state matrix build,Engineering,2026-09-24,not_run,"Each selected state builds with valid destinations/configuration","Preparation production build passed; alternate states are contract-tested but not separately rendered/built","MOBILE-AND-PERFORMANCE.md; tests/homepage/homepage-content.test.mjs",Engineering
HV-D03,homepage-vision-implementation-v1,hv-2026-09-24,Homepage state contract unit tests,Synthetic,2026-09-24,passed,"Malformed state fails safely or falls back nontransactionally","Malformed, unsafe and unapproved collection state falls back to preparation","tests/homepage/homepage-content.test.mjs",Engineering
HV-D04,homepage-vision-implementation-v1,hv-2026-09-24,Playwright metadata and captured social image,Anonymous,2026-09-24,passed,"Title, description, canonical and image match content","Metadata assertion passed; generated 1200x630 PNG reviewed","tests/e2e/homepage-vision.spec.ts; screenshots/opengraph.png",Engineering
HV-D05,homepage-vision-implementation-v1,hv-2026-09-24,Local response and public sitemap checks,Anonymous,2026-09-24,passed,"Canonical/sitemap are official and no future product availability is advertised","Canonical, metadata and public-route sitemap check passed; no product availability schema was added","npm run check:routes; tests/e2e/homepage-vision.spec.ts",Engineering
HV-D06,homepage-vision-implementation-v1,hv-2026-09-24,Final implementation candidate local checks,Engineering,2026-09-24,passed,"Candidate changes after QA receive affected rechecks","All UI/code edits preceded the final focused suite, build, route check and screenshot review; later edits are evidence docs only","MOBILE-AND-PERFORMANCE.md; git diff review",Engineering
HV-D07,homepage-vision-implementation-v1,hv-2026-09-24,Rollback/asset-withdrawal rehearsal,Release owner,2026-09-24,not_run,"Safe prior artifact or narrow asset withdrawal is rehearsed","No production rollback or withdrawal rehearsal was performed","RELEASE-RECORD.md",Release owner
HV-D08,homepage-vision-implementation-v1,hv-2026-09-24,Fresh post-merge official-domain smoke,Release owner,2026-09-24,not_run,"Official domain shows the verified candidate and actions/fallbacks work","Pending merge and production deployment verification","RELEASE-RECORD.md",Release owner
